Epochs,Optimizer,Activation_Function,Train_Loss,Train_Accuracy,Train_Precision,Train_Recall,Val_Loss,Val_Accuracy,Val_Precision,Val_Recall
1,RMSprop,elu,1.2353973388671875,0.5951587557792664,0.195189967751503,0.8998412489891052,2.791818141937256,0.3870370388031006,0.18561536073684692,0.769444465637207
7,RMSprop,tanh,0.05075233057141304,0.9866666793823242,0.2816498279571533,0.9993650913238525,0.007481191772967577,0.9985185265541077,0.3933124542236328,0.9998148083686829
2,RMSprop,softmax,2.3698105812072754,0.0994444414973259,0.1000702753663063,0.508571445941925,2.3579447269439697,0.09981481730937958,0.0,0.0
7,RMSprop,softsign,0.05101434513926506,0.9864285588264465,0.2738876938819885,0.9996031522750854,0.0025498371105641127,0.9994444251060486,0.41974347829818726,1.0
4,RMSprop,relu,0.11010435968637466,0.9700000286102295,0.26304125785827637,0.9984920620918274,0.029027817770838737,0.9911110997200012,0.31871309876441956,0.9998148083686829
8,RMSprop,relu,0.05551112815737724,0.9865079522132874,0.2870625853538513,0.9993650913238525,0.005888485815376043,0.9983333349227905,0.4274742603302002,0.9998148083686829
3,RMSprop,softsign,0.129343181848526,0.9628571271896362,0.25341761112213135,0.998968243598938,0.14458511769771576,0.9535185098648071,0.2787681519985199,0.9990741014480591
4,RMSprop,elu,0.0838259756565094,0.9770634770393372,0.26162028312683105,0.9992856979370117,0.7400468587875366,0.7920370101928711,0.3035764694213867,0.9981481432914734
6,RMSprop,tanh,0.0654391497373581,0.9817460179328918,0.2751721739768982,0.9988095164299011,0.014889962039887905,0.9953703880310059,0.36385688185691833,1.0
2,RMSprop,tanh,0.23108160495758057,0.9319047331809998,0.2456798106431961,0.9985714554786682,0.038405220955610275,0.9870370626449585,0.28565382957458496,1.0
5,RMSprop,relu,0.06892470270395279,0.981587290763855,0.27244997024536133,0.9995238184928894,0.04349571466445923,0.9870370626449585,0.36768612265586853,0.9996296167373657
1,RMSprop,softsign,1.4236342906951904,0.5210317373275757,0.18961256742477417,0.877063512802124,9.170105934143066,0.11259259283542633,0.11996430903673172,0.49796295166015625
5,RMSprop,elu,0.07169059664011002,0.9807142615318298,0.2698242664337158,0.9992063641548157,1.326977252960205,0.7638888955116272,0.2934167981147766,0.9896296262741089
10,RMSprop,tanh,0.041594427078962326,0.9892063736915588,0.28975939750671387,0.9997618794441223,0.014727037400007248,0.9946296215057373,0.3673288822174072,0.9998148083686829
9,RMSprop,elu,0.04314180463552475,0.9881746172904968,0.28112030029296875,0.9997618794441223,0.027369212359189987,0.9916666746139526,0.32215726375579834,1.0
1,RMSprop,sigmoid,2.632758378982544,0.10999999940395355,0.10191646963357925,0.5111111402511597,3.21517276763916,0.0994444414973259,0.09829528629779816,0.49759259819984436
9,RMSprop,sigmoid,0.0553244911134243,0.9861904978752136,0.2690795660018921,0.9995238184928894,0.01319060754030943,0.9974074363708496,0.3429025113582611,0.9998148083686829
9,RMSprop,tanh,0.04659813642501831,0.9876984357833862,0.2852354347705841,0.9995238184928894,0.021618928760290146,0.9950000047683716,0.4363783299922943,0.9996296167373657
8,RMSprop,elu,0.04812422767281532,0.9878571629524231,0.28423404693603516,0.9992856979370117,0.007573758717626333,0.9990741014480591,0.38765254616737366,1.0
3,RMSprop,elu,0.12079092115163803,0.964206337928772,0.25231996178627014,0.9991269707679749,0.06173529103398323,0.9846296310424805,0.3084833025932312,1.0
1,RMSprop,relu,1.606724500656128,0.4583333432674408,0.17951856553554535,0.8611904978752136,0.5752713680267334,0.7831481695175171,0.23233672976493835,0.9987037181854248
3,RMSprop,selu,0.1246541365981102,0.9664285778999329,0.2520621418952942,0.9992063641548157,0.007077860180288553,0.9981481432914734,0.3356121778488159,1.0
3,RMSprop,relu,0.1504853516817093,0.9563491940498352,0.2514488995075226,0.9985714554786682,0.8477447628974915,0.7485185265541077,0.2702920138835907,0.9959259033203125
6,RMSprop,sigmoid,0.08674431592226028,0.9765872955322266,0.2502533793449402,0.9993650913238525,0.05035433918237686,0.9844444394111633,0.3200545310974121,0.9998148083686829
4,RMSprop,tanh,0.09384869039058685,0.9734920859336853,0.26371026039123535,0.9991269707679749,0.2055353820323944,0.9322222471237183,0.36269569396972656,0.9996296167373657
9,RMSprop,softsign,0.04243743419647217,0.9884920716285706,0.2803846597671509,0.9996825456619263,0.06555981189012527,0.9811111092567444,0.34783729910850525,0.9992592334747314
6,RMSprop,elu,0.06738749891519547,0.9827777743339539,0.27490997314453125,0.9996031522750854,0.40069228410720825,0.9131481647491455,0.32881084084510803,0.9918518662452698
10,RMSprop,sigmoid,0.04652969539165497,0.9875397086143494,0.2705541253089905,0.9997618794441223,0.00634960550814867,0.9988889098167419,0.4026400148868561,0.9998148083686829
9,RMSprop,softmax,0.08471334725618362,0.9756349325180054,0.24734371900558472,0.9995238184928894,0.5610729455947876,0.8596296310424805,0.3450217545032501,0.9985185265541077
8,RMSprop,selu,0.044102441519498825,0.989047646522522,0.28022515773773193,0.9996031522750854,2.948883295059204,0.6162962913513184,0.3302178680896759,0.9683333039283752
4,RMSprop,sigmoid,0.15770834684371948,0.9539682269096375,0.24553458392620087,0.9982539415359497,5.16556453704834,0.29092592000961304,0.18235164880752563,0.7711111307144165
8,RMSprop,softsign,0.036023322492837906,0.9902380704879761,0.27936840057373047,0.9997618794441223,0.011178434826433659,0.996666669845581,0.3473115563392639,1.0
3,RMSprop,tanh,0.1427634209394455,0.9603174328804016,0.2560524046421051,0.9988889098167419,0.05298804119229317,0.9857407212257385,0.27474430203437805,0.9998148083686829
1,RMSprop,selu,1.1868599653244019,0.6049206256866455,0.19855044782161713,0.9088095426559448,0.27999910712242126,0.8949999809265137,0.2447127103805542,0.9985185265541077
10,RMSprop,selu,0.04608655720949173,0.9899206161499023,0.28739070892333984,0.9990476369857788,0.004395932890474796,0.9992592334747314,0.47868096828460693,1.0
6,RMSprop,relu,0.065153568983078,0.9830158948898315,0.27866819500923157,0.9990476369857788,0.08416153490543365,0.9851852059364319,0.393098920583725,1.0
5,RMSprop,softmax,0.3626134693622589,0.8836507797241211,0.22248181700706482,0.9976190328598022,0.7845686078071594,0.752407431602478,0.20307502150535583,0.9759259223937988
6,RMSprop,softmax,0.2230149656534195,0.9303968548774719,0.2300749123096466,0.9993650913238525,0.04118436947464943,0.9844444394111633,0.3211227357387543,1.0
10,RMSprop,softsign,0.04052343964576721,0.9915079474449158,0.2824249565601349,0.9997618794441223,0.004087160807102919,0.9992592334747314,0.4393717348575592,0.9998148083686829
8,RMSprop,tanh,0.047218553721904755,0.9886507987976074,0.28691551089286804,0.9992856979370117,0.01352178119122982,0.9962962865829468,0.416172057390213,0.9998148083686829
2,RMSprop,selu,0.20491375029087067,0.9408730268478394,0.2447470873594284,0.9984126687049866,0.12201299518346786,0.9592592716217041,0.317775160074234,0.9998148083686829
7,RMSprop,relu,0.06228939816355705,0.9849206209182739,0.2839873731136322,0.9993650913238525,0.004230652470141649,0.9992592334747314,0.45476752519607544,0.9998148083686829
5,RMSprop,tanh,0.07090650498867035,0.980555534362793,0.27133405208587646,0.9990476369857788,0.11162043362855911,0.9731481671333313,0.33784547448158264,0.9983333349227905
10,RMSprop,elu,0.0298820398747921,0.9928571581840515,0.2877209782600403,0.9997618794441223,0.17846739292144775,0.9564814567565918,0.39681023359298706,0.9998148083686829
6,RMSprop,selu,0.06687130779027939,0.9838095307350159,0.2724126875400543,0.9996031522750854,0.003588899038732052,0.9988889098167419,0.47885075211524963,1.0
10,RMSprop,softmax,0.0844372883439064,0.9762698411941528,0.2516482174396515,0.9996825456619263,0.018734999001026154,0.994259238243103,0.33106493949890137,1.0
8,RMSprop,sigmoid,0.05646572262048721,0.9843651056289673,0.2635576128959656,0.9997618794441223,0.01269453763961792,0.997592568397522,0.3570152819156647,0.9994444251060486
5,RMSprop,sigmoid,0.10506641119718552,0.9697619080543518,0.24824485182762146,0.9990476369857788,1.548117756843567,0.6959259510040283,0.2848840355873108,0.9531481266021729
7,RMSprop,sigmoid,0.06985493004322052,0.9818254113197327,0.2577832341194153,0.9995238184928894,1.5623143911361694,0.729629635810852,0.3347848653793335,0.9538888931274414
2,RMSprop,sigmoid,1.4193837642669678,0.48849207162857056,0.18303953111171722,0.9007142782211304,10.774175643920898,0.16111111640930176,0.10632714629173279,0.40518519282341003
5,RMSprop,selu,0.07618135958909988,0.9818254113197327,0.26463478803634644,0.9992063641548157,0.01559364516288042,0.9959259033203125,0.38989168405532837,1.0
1,RMSprop,softmax,2.6375505924224854,0.09992063790559769,0.10075020045042038,0.5084127187728882,2.972543239593506,0.10129629820585251,0.10129629820585251,0.10129629820585251
9,RMSprop,selu,0.03861488029360771,0.9893651008605957,0.2861458659172058,0.9997618794441223,0.012636050581932068,0.9977777600288391,0.4426592290401459,1.0
7,RMSprop,elu,0.04456781968474388,0.9872221946716309,0.2808535397052765,0.9996825456619263,0.3258124887943268,0.9118518233299255,0.36023765802383423,0.9992592334747314
2,RMSprop,elu,0.20232781767845154,0.940079391002655,0.24511964619159698,0.9975396990776062,0.017710382118821144,0.9937037229537964,0.2942458689212799,1.0
2,RMSprop,softsign,0.27246150374412537,0.9168254137039185,0.24347573518753052,0.9973809719085693,0.04212750867009163,0.9868518710136414,0.2838072180747986,1.0
4,RMSprop,softsign,0.08745039999485016,0.976190447807312,0.26437288522720337,0.9988889098167419,0.3063093423843384,0.9111111164093018,0.30249887704849243,0.9998148083686829
2,RMSprop,relu,0.319977343082428,0.9010317325592041,0.23689968883991241,0.9967460036277771,0.24649520218372345,0.9142592549324036,0.2618712782859802,0.9998148083686829
8,RMSprop,softmax,0.1128525510430336,0.9670634865760803,0.24106118083000183,0.9995238184928894,0.01805063709616661,0.9935185313224792,0.3168456256389618,1.0
3,RMSprop,softmax,2.1892263889312744,0.17563492059707642,0.1134389117360115,0.5969047546386719,1.4822362661361694,0.4601851999759674,0.18606723845005035,0.9664815068244934
5,RMSprop,softsign,0.07183431088924408,0.9799206256866455,0.2683269679546356,0.9996031522750854,0.35435566306114197,0.92166668176651,0.2916891872882843,0.9996296167373657
4,RMSprop,softmax,0.7907708883285522,0.7326984405517578,0.2086905539035797,0.989126980304718,0.5268020033836365,0.7988888621330261,0.26398199796676636,0.9990741014480591
7,RMSprop,selu,0.05926544591784477,0.9850000143051147,0.2765125632286072,0.9992856979370117,0.01428301353007555,0.9964814782142639,0.3570294976234436,0.9998148083686829
10,RMSprop,relu,0.04451290890574455,0.9895238280296326,0.29600903391838074,0.9995238184928894,0.003277228679507971,0.9992592334747314,0.42441633343696594,0.9998148083686829
3,RMSprop,sigmoid,0.35219311714172363,0.8892063498497009,0.23804016411304474,0.9963492155075073,7.401044845581055,0.16018518805503845,0.13037998974323273,0.4981481432914734
7,RMSprop,softmax,0.15109722316265106,0.957460343837738,0.23517543077468872,0.9990476369857788,0.25183379650115967,0.9166666865348816,0.28758588433265686,1.0
1,RMSprop,tanh,1.238858938217163,0.5839682817459106,0.19676069915294647,0.9034126996994019,0.7762173414230347,0.7405555844306946,0.27730271220207214,0.9968518614768982
4,RMSprop,selu,0.081013984978199,0.9789682626724243,0.2599727511405945,0.9992856979370117,0.06643546372652054,0.9781481623649597,0.317868709564209,0.9998148083686829
6,RMSprop,softsign,0.05492468178272247,0.9852380752563477,0.27244600653648376,0.9994444251060486,0.002744035329669714,0.9994444251060486,0.3360716998577118,1.0
9,RMSprop,relu,0.04823731631040573,0.9883333444595337,0.2896304428577423,0.9995238184928894,0.00883973017334938,0.9985185265541077,0.44666942954063416,0.9996296167373657
